Time,Graph Time,Power,Speed,Axle Torque,Tacho,Axle Speed,TqC,TE,Comments
sec,sec,kW,km/h,Nm,rpm,rpm,Nm,N,
1.300,0.000,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.320,0.020,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.340,0.040,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.360,0.060,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.380,0.080,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.400,0.100,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.420,0.120,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.440,0.140,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.460,0.160,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.480,0.180,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.500,0.200,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.520,0.220,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.540,0.240,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.560,0.260,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.580,0.280,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.600,0.300,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.620,0.320,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.640,0.340,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.660,0.360,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.680,0.380,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.700,0.400,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.720,0.420,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.740,0.440,0.000,0.000,0.000,0.000,0.000,-,0.000,
1.760,0.460,0.000,0.000,0.100,0.000,0.000,-,0.000,
1.780,0.480,0.000,0.000,0.300,0.000,0.000,-,0.000,
1.800,0.500,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.820,0.520,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.840,0.540,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.860,0.560,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.880,0.580,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.900,0.600,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.920,0.620,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.940,0.640,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.960,0.660,0.000,0.000,0.500,0.000,0.000,-,0.000,
1.980,0.680,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.000,0.700,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.020,0.720,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.040,0.740,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.060,0.760,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.080,0.780,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.100,0.800,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.120,0.820,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.140,0.840,0.000,0.000,0.500,0.000,0.000,-,0.000,
2.160,0.860,0.000,0.000,0.600,0.000,0.000,-,0.000,
2.180,0.880,0.000,0.000,0.800,0.000,0.000,-,0.000,
2.200,0.900,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.220,0.920,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.240,0.940,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.260,0.960,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.280,0.980,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.300,1.000,0.000,0.000,1.000,0.000,0.000,-,0.000,
2.320,1.020,0.000,0.000,1.200,0.000,0.000,-,0.000,
2.340,1.040,0.000,0.000,1.400,0.000,0.000,-,0.000,
2.360,1.060,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.380,1.080,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.400,1.100,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.420,1.120,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.440,1.140,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.460,1.160,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.480,1.180,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.500,1.200,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.520,1.220,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.540,1.240,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.560,1.260,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.580,1.280,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.600,1.300,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.620,1.320,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.640,1.340,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.660,1.360,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.680,1.380,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.700,1.400,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.720,1.420,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.740,1.440,0.000,0.000,1.500,0.000,0.000,-,0.000,
2.760,1.460,0.000,0.000,1.500,0.000,0.000,-,0.000,
